scenario,sigma_true,anchor,prior_sd_log,bias,rmse,sd,mean_hat,frac_bound,plain_bias,plain_rmse,plain_sd,plain_frac_bound
uniform_6h,0.2,0.15,0.15,-0.005249321804159324,0.009468304534723731,0.007895744581013374,0.1947506781958407,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.15,0.3,-0.00216059244099287,0.008740568482693462,0.008486309415438311,0.19783940755900714,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.15,0.6,-0.0013044340942779675,0.008733975123848155,0.00865334006814847,0.19869556590572204,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.3,0.15,0.005597325272661852,0.0099597519934394,0.008254645130334328,0.20559732527266186,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.3,0.3,0.0006860172825523536,0.008609970204795953,0.008599813625485491,0.20068601728255236,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.3,0.6,-0.0005837194529009215,0.008685701639076462,0.008683449414738007,0.1994162805470991,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.6,0.15,0.018291598583486668,0.020232182280389317,0.00866365145383525,0.21829159858348668,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.6,0.3,0.0036535146477829628,0.009436497291351867,0.00871798859535394,0.20365351464778297,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.2,0.6,0.6,0.0001446337421042443,0.008697635409446576,0.008713877981369755,0.20014463374210426,0.0,-0.0010105715503795076,0.008752121526996625,0.00871102198256924,0.0
uniform_6h,0.3,0.15,0.15,-0.01587862309199284,0.01908738640003116,0.010613587576853182,0.28412137690800715,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.15,0.3,-0.005249162466650192,0.012711946464260042,0.011600783984937595,0.2947508375333498,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.15,0.6,-0.0021932626348226125,0.012072583647292077,0.011895498580617834,0.2978067373651774,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.3,0.15,-0.0010596902534567576,0.011110509007426675,0.01108204465909349,0.29894030974654323,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.3,0.3,-0.0011137433251334206,0.0117851906392928,0.011755981738533889,0.29888625667486657,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.3,0.6,-0.0011275869810006833,0.011966695644647198,0.011937351199766315,0.2988724130189993,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.6,0.15,0.016146997002122132,0.01987611884924283,0.011613530241116716,0.3161469970021221,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.6,0.3,0.003195098359368209,0.012315343486815438,0.011917514012290598,0.3031950983593682,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.3,0.6,0.6,-5.065133359549723e-05,0.011955762832035588,0.011979638822751833,0.2999493486664045,0.0,-0.0011322302672320816,0.012028422067629425,0.011999037447130023,0.0
uniform_6h,0.5,0.15,0.15,-0.04454150316095795,0.047431807880364114,0.016337028154404794,0.45545849683904205,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.15,0.3,-0.015353956581104278,0.02391161434055143,0.018367656379635118,0.4846460434188957,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.15,0.6,-0.006555885686549023,0.020078225752173585,0.019015833400083927,0.493444114313451,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.3,0.15,-0.021993277243457954,0.02784489132970242,0.01711154432105813,0.47800672275654205,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.3,0.3,-0.008570924561754178,0.02048423439643286,0.01864224353291427,0.4914290754382458,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.3,0.6,-0.004767689121338847,0.01964089739587392,0.019091672498570814,0.49523231087866115,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.6,0.15,0.004008109875761057,0.018408591746656166,0.018002992425259195,0.5040081098757611,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.6,0.3,-0.0015031211152793933,0.018951212323655285,0.018929404769001585,0.4984968788847206,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_6h,0.5,0.6,0.6,-0.0029602683394698293,0.019357736156550173,0.01916842388832195,0.49703973166053017,0.0,-0.0034533139247713285,0.019518111572732866,0.01924872348301391,0.0
uniform_24h,0.2,0.15,0.15,-0.006345845068773781,0.010943741241144863,0.008933923138624018,0.19365415493122623,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.15,0.3,-0.002462453984694052,0.010012953804167347,0.009724909238467961,0.19753754601530596,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.15,0.6,-0.0013644539231101593,0.010024877403824402,0.009951510573990022,0.19863554607688985,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.3,0.15,0.007373228746283628,0.011790279819024658,0.009218792796694701,0.20737322874628364,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.3,0.3,0.0012002721522612614,0.009875892724021432,0.009822347882690773,0.20120027215226127,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.3,0.6,-0.00043286422077479236,0.0099673117646694,0.00997788379570802,0.19956713577922522,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.6,0.15,0.02331511569059147,0.02519089998017047,0.009557836108113947,0.22331511569059148,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
uniform_24h,0.2,0.6,0.3,0.0050149680557327325,0.01110212925962207,0.009924785891762397,0.20501496805573274,0.0,-0.0009853856087463364,0.01005837557143667,0.01003007196948265,0.0
