cadence,beta_variant,n_valid,median_S_d_V,p90_S_d_V,median_S_T_V,mean_p_wet_uncertain,median_S_d_ds1,p90_S_d_ds1,n_valid_ds1,median_S_d_ds2,p90_S_d_ds2,n_valid_ds2,median_S_d_ds3,p90_S_d_ds3,n_valid_ds3
dense_6h,narrow_0.6_1.0,262,0.8577529871976282,0.9956098670727042,0.13641721510774735,0.07011070110701106,0.841427384322798,0.9987228865831063,240,0.8582023665953296,0.9901877205163998,261,0.8184838161172029,0.9796241732938565,252
dense_6h,wide_0.4_1.2,268,0.9669054009004252,0.9991057921676126,0.03279969211213404,0.18081180811808117,0.9598214015058447,1.000303024310987,254,0.9649872946433663,0.9981488132621861,267,0.9231626560553193,0.9915485960468997,260
mid_24h,narrow_0.6_1.0,262,0.30791724831186007,0.9320977009051655,0.7016921571834367,0.07011070110701106,0.2406155018772942,0.9655765618342904,243,0.3112898429910699,0.8602151218581678,261,0.24615316554846306,0.7209762660865793,253
mid_24h,wide_0.4_1.2,268,0.6771985188067269,0.980796767780151,0.3267063135837114,0.18081180811808117,0.6003347259612354,1.0002227203793823,256,0.6569541483650033,0.9634146499836506,267,0.4664540783126695,0.8868360963701756,263
sparse_weekly_168h,narrow_0.6_1.0,262,0.026738422066572887,0.5883890862328003,0.9720471690791272,0.07011070110701106,0.002047876732772321,0.9051390423158373,252,0.02659029320786515,0.41870122425456546,262,0.014862966033688182,0.1078709792561107,260
sparse_weekly_168h,wide_0.4_1.2,268,0.11698773142864882,0.8619436401159213,0.8939691786459432,0.18081180811808117,0.014525506385925695,1.0054818915875081,263,0.11863331877686042,0.7522240816565403,267,0.05458556249712916,0.26668945370686925,266
onfile_2023,narrow_0.6_1.0,262,0.041129550238665165,0.6283271030045772,0.9643111137220356,0.07011070110701106,0.004704480022201699,0.8986795345617002,262,0.033840193734199775,0.5039579880246075,262,0.02824833013299709,0.15953783627262988,257
onfile_2023,wide_0.4_1.2,268,0.16687147699321436,0.8714980160740576,0.849577347233015,0.18081180811808117,0.02966515465757482,1.0022125744000856,268,0.15630872710836385,0.7985286853656918,267,0.0923787909896396,0.35449092623117606,265
