scenario,sigma_true,prior_center,plain_bias,plain_sd,plain_width90,plain_frac_bound,plain_mean_hat,pen_bias,pen_sd,pen_width90,pen_frac_bound,pen_mean_hat
uniform_6h,0.3,0.39,1.2269418276755761e-05,0.012105206853667165,0.04058056594485854,0.0,0.30001226941827674,0.0016369299135238768,0.011919561532638975,0.03996824723126713,0.0,0.30163692991352387
uniform_6h,0.5,0.65,0.00022407906652244236,0.022347868274565825,0.07276163511882122,0.0,0.5002240790665224,0.0029901303295959414,0.02200966204245909,0.07149803550436268,0.0,0.5029901303295959
uniform_6h,0.8,1.04,-0.00224120497400615,0.03594778090347765,0.11476432463459973,0.0,0.7977587950259939,0.0026147147965671635,0.0353835776481378,0.11309585370453423,0.0,0.8026147147965672
uniform_12h,0.3,0.39,-0.001255438455693536,0.01358251898324117,0.044729537923915375,0.0,0.29874456154430645,0.0004504736360128603,0.01336443126538553,0.04400244415211502,0.0,0.30045047363601285
uniform_12h,0.5,0.65,-0.0003519089604088754,0.02198592747844277,0.07320214502336125,0.0,0.4996480910395911,0.002499823216012942,0.021641118282697765,0.07199652397844547,0.0,0.5024998232160129
uniform_12h,0.8,1.04,-0.0020217117091334558,0.035737184556932,0.12099637579199973,0.0,0.7979782882908666,0.002990168207545718,0.035167377081958814,0.1190800340300655,0.0,0.8029901682075458
uniform_24h,0.3,0.39,7.770801009993056e-05,0.014451032248745702,0.04773557391378447,0.0,0.3000777080100999,0.0019695588676206244,0.014178658963107717,0.046847782269495986,0.0,0.3019695588676206
uniform_24h,0.5,0.65,-0.0008032474463078865,0.02347729546308994,0.07882007646632327,0.0,0.4991967525536921,0.0022841240895203896,0.02307555742943324,0.07745549113044636,0.0,0.5022841240895204
uniform_24h,0.8,1.04,0.002003621815691692,0.04004634074440455,0.13116219571336574,0.0,0.8020036218156917,0.007358834352755528,0.039353643916684944,0.12908721006005341,0.0,0.8073588343527556
uniform_72h,0.3,0.39,-0.002072610810580966,0.019689240452265194,0.06370660155918229,0.0,0.297927389189419,0.0015549136640720662,0.01884411116883511,0.06122938870983824,0.0,0.30155491366407206
uniform_72h,0.5,0.65,-0.0011537279064931516,0.027924920867075757,0.08882456361356672,0.0,0.49884627209350685,0.0034717363423579783,0.027188895613765165,0.08714626718005658,0.0,0.503471736342358
uniform_72h,0.8,1.04,-8.923336484378819e-05,0.047225168505976,0.14843854141595214,0.0,0.7999107666351563,0.007744989633443056,0.0460771861420966,0.14246503601052773,0.0,0.8077449896334431
requested_2023,0.3,0.39,-0.08388807851331928,0.10342038036769668,0.2975073918232665,0.095,0.2161119214866807,0.0002920857616898753,0.03116364117423687,0.1114961136676719,0.0,0.30029208576168986
requested_2023,0.5,0.65,-0.008057369314148466,0.03839951106887283,0.1152659625394149,0.0,0.49194263068585153,0.00029073205219265486,0.03394541668763059,0.10495504989908516,0.0,0.5002907320521927
requested_2023,0.8,1.04,-0.0006378639628320526,0.04426327884412393,0.14323608793104436,0.0,0.799362136037168,0.0057245166403322445,0.04308672483546973,0.13950490455057551,0.0,0.8057245166403323
pessimistic_onfile,0.3,0.39,-0.009531615991456133,0.04051914936110189,0.12838065196227658,0.0,0.29046838400854386,0.005624345435379596,0.03360363980217809,0.10647625495932245,0.0,0.3056243454353796
pessimistic_onfile,0.5,0.65,-0.0011929326499135473,0.0735638805938447,0.23481041230982413,0.0,0.49880706735008645,0.024380092178887813,0.06339158448969807,0.20336375761773118,0.0,0.5243800921788878
pessimistic_onfile,0.8,1.04,0.022612028276644103,0.18119423241986884,0.575089332605402,0.0,0.8226120282766441,0.07740668344695856,0.12715933364056514,0.4177468530899716,0.0,0.8774066834469586
