p_elicit,w_hours,sigma_mb,q,p_true,n_reps,power,mean_point_estimate,frac_capped
0.05,6,0.3,0.5,0.25,500,0.022,-0.0018654788518604447,0.0
0.05,6,0.3,0.8,0.25,500,0.406,0.07468491049064264,0.0
0.05,6,0.5,0.5,0.25,500,0.04,0.0007763512643815203,0.0
0.05,6,0.5,0.8,0.25,500,0.262,0.027782308310687214,0.0
0.05,6,0.8,0.5,0.25,500,0.05,0.00012813499967507285,0.0
0.05,6,0.8,0.8,0.25,500,0.172,0.010191649992140608,0.0
0.05,24,0.3,0.5,0.25,500,0.018,-0.002237403809493248,0.0
0.05,24,0.3,0.8,0.25,500,0.404,0.07152313462672583,0.0
0.05,24,0.5,0.5,0.25,500,0.034,-0.0004874944734660518,0.0
0.05,24,0.5,0.8,0.25,500,0.254,0.02563281864163486,0.0
0.05,24,0.8,0.5,0.25,500,0.046,7.797015205304792e-06,0.0
0.05,24,0.8,0.8,0.25,500,0.204,0.010810890341321933,0.0
0.05,72,0.3,0.5,0.25,500,0.032,0.0012795898223981652,0.0
0.05,72,0.3,0.8,0.25,500,0.36,0.05587959923230257,0.0
0.05,72,0.5,0.5,0.25,500,0.028,-0.0008974602221911872,0.0
0.05,72,0.5,0.8,0.25,500,0.236,0.023281105060409743,0.0
0.05,72,0.8,0.5,0.25,500,0.046,0.0005223799923266304,0.0
0.05,72,0.8,0.8,0.25,500,0.188,0.010146968342554965,0.0
0.05,168,0.3,0.5,0.25,500,0.05,0.001680673668001977,0.0
0.05,168,0.3,0.8,0.25,500,0.252,0.03259086534679495,0.0
0.05,168,0.5,0.5,0.25,500,0.062,0.0017145096426043071,0.0
0.05,168,0.5,0.8,0.25,500,0.228,0.017025494584228376,0.0
0.05,168,0.8,0.5,0.25,500,0.042,0.00025746551959818573,0.0
0.05,168,0.8,0.8,0.25,500,0.13,0.006777895675224803,0.0
0.1,6,0.3,0.5,0.25,500,0.026,0.004347091596398749,0.0
0.1,6,0.3,0.8,0.25,500,0.746,0.1579934022270507,0.0
0.1,6,0.5,0.5,0.25,500,0.022,0.0011423576803459461,0.0
0.1,6,0.5,0.8,0.25,500,0.534,0.05852307934962616,0.0
0.1,6,0.8,0.5,0.25,500,0.038,0.0002761095797112135,0.0
0.1,6,0.8,0.8,0.25,500,0.254,0.020922672356169656,0.0
0.1,24,0.3,0.5,0.25,500,0.026,0.006633382580478211,0.0
0.1,24,0.3,0.8,0.25,500,0.708,0.14627972364656253,0.0
0.1,24,0.5,0.5,0.25,500,0.03,0.0010026291404849786,0.0
0.1,24,0.5,0.8,0.25,500,0.552,0.05758933716846925,0.0
0.1,24,0.8,0.5,0.25,500,0.046,-0.0002570543343247218,0.0
0.1,24,0.8,0.8,0.25,500,0.312,0.02155783271047879,0.0
0.1,72,0.3,0.5,0.25,500,0.032,0.0026992622912737447,0.0
0.1,72,0.3,0.8,0.25,500,0.676,0.12018537646006032,0.0
0.1,72,0.5,0.5,0.25,500,0.04,0.004453651618694041,0.0
0.1,72,0.5,0.8,0.25,500,0.482,0.048419303252144476,0.0
0.1,72,0.8,0.5,0.25,500,0.05,0.0011673497491774632,0.0
0.1,72,0.8,0.8,0.25,500,0.296,0.019469983155701497,0.0
0.1,168,0.3,0.5,0.25,500,0.062,0.006869592235622039,0.0
0.1,168,0.3,0.8,0.25,500,0.482,0.07035867238432682,0.0
0.1,168,0.5,0.5,0.25,500,0.05,0.001968765973537608,0.0
0.1,168,0.5,0.8,0.25,500,0.376,0.03376416026449149,0.0
0.1,168,0.8,0.5,0.25,500,0.048,0.0015857264889562917,0.0
0.1,168,0.8,0.8,0.25,500,0.232,0.015328106735838691,0.0
0.2,6,0.3,0.5,0.25,500,0.022,-0.005488313634992051,0.0
0.2,6,0.3,0.8,0.25,500,0.946,0.30229322779639983,0.0
0.2,6,0.5,0.5,0.25,500,0.02,-0.0024031727907866266,0.0
0.2,6,0.5,0.8,0.25,500,0.772,0.10932902122326765,0.0
0.2,6,0.8,0.5,0.25,500,0.034,-0.0011927190003734951,0.0
0.2,6,0.8,0.8,0.25,500,0.468,0.042554711602245436,0.0
0.2,24,0.3,0.5,0.25,500,0.02,-0.007911718268137349,0.0
0.2,24,0.3,0.8,0.25,500,0.964,0.2860716591014515,0.0
0.2,24,0.5,0.5,0.25,500,0.01,-0.0019900169895185936,0.0
0.2,24,0.5,0.8,0.25,500,0.732,0.10396100253076646,0.0
0.2,24,0.8,0.5,0.25,500,0.032,-0.001324548676767136,0.0
0.2,24,0.8,0.8,0.25,500,0.432,0.040183534905320284,0.0
0.2,72,0.3,0.5,0.25,500,0.024,0.004087552960539606,0.0
0.2,72,0.3,0.8,0.25,500,0.898,0.22796916579012316,0.0
0.2,72,0.5,0.5,0.25,500,0.028,0.0027593615479171367,0.0
0.2,72,0.5,0.8,0.25,500,0.698,0.08960581018693427,0.0
0.2,72,0.8,0.5,0.25,500,0.05,0.0010375154873029928,0.0
0.2,72,0.8,0.8,0.25,500,0.432,0.03786767610815737,0.0
0.2,168,0.3,0.5,0.25,500,0.064,0.004252189297047808,0.0
0.2,168,0.3,0.8,0.25,500,0.74,0.13645607477442137,0.0
0.2,168,0.5,0.5,0.25,500,0.05,0.0022638076080905884,0.0
0.2,168,0.5,0.8,0.25,500,0.624,0.06729747177799976,0.0
