p_elicit,w_hours,sigma_mb,q,p_true,n_reps,power,mean_point_estimate,frac_capped
0.2,168,0.8,0.5,0.25,500,0.054,0.001042762695619285,0.0
0.2,168,0.8,0.8,0.25,500,0.372,0.030109815572355102,0.0
0.3,6,0.3,0.5,0.25,500,0.006,-0.025013118709910333,0.0
0.3,6,0.3,0.8,0.25,500,0.994,0.4588226229692315,0.0
0.3,6,0.5,0.5,0.25,500,0.016,-0.00734445580822082,0.0
0.3,6,0.5,0.8,0.25,500,0.914,0.16621920995470468,0.0
0.3,6,0.8,0.5,0.25,500,0.022,-0.001411590390336394,0.0
0.3,6,0.8,0.8,0.25,500,0.62,0.06294957620723085,0.0
0.3,24,0.3,0.5,0.25,500,0.008,-0.017512838763864638,0.0
0.3,24,0.3,0.8,0.25,500,0.992,0.4356495156661418,0.0
0.3,24,0.5,0.5,0.25,500,0.03,-0.0037477680248977708,0.0
0.3,24,0.5,0.8,0.25,500,0.912,0.1613208116485834,0.0
0.3,24,0.8,0.5,0.25,500,0.034,-0.005749414516616973,0.0
0.3,24,0.8,0.8,0.25,500,0.644,0.0643138157945447,0.0
0.3,72,0.3,0.5,0.25,500,0.012,-0.004335838038516881,0.0
0.3,72,0.3,0.8,0.25,500,0.99,0.3458855339327106,0.0
0.3,72,0.5,0.5,0.25,500,0.028,-0.0027638912873356176,0.0
0.3,72,0.5,0.8,0.25,500,0.868,0.13704409392929093,0.0
0.3,72,0.8,0.5,0.25,500,0.02,-0.002841886762369794,0.0
0.3,72,0.8,0.8,0.25,500,0.558,0.05665576576995618,0.0
0.3,168,0.3,0.5,0.25,500,0.06,0.0065605201611139705,0.0
0.3,168,0.3,0.8,0.25,500,0.894,0.2127454954246283,0.0
0.3,168,0.5,0.5,0.25,500,0.036,0.0009141036226065661,0.0
0.3,168,0.5,0.8,0.25,500,0.784,0.10317094527387499,0.0
0.3,168,0.8,0.5,0.25,500,0.042,-0.0014536590730946006,0.0
0.3,168,0.8,0.8,0.25,500,0.504,0.0446489598101774,0.0
0.5,6,0.3,0.5,0.25,500,0.002,-0.014677580249581778,0.0
0.5,6,0.3,0.8,0.25,500,0.0,-0.018885660196974612,0.0
0.5,6,0.5,0.5,0.25,500,0.016,-0.007377803478401021,0.0
0.5,6,0.5,0.8,0.25,500,0.014,-0.0049534149167750246,0.0
0.5,6,0.8,0.5,0.25,500,0.016,-0.004338451266182303,0.0
0.5,6,0.8,0.8,0.25,500,0.028,-0.003428636098504038,0.0
0.5,24,0.3,0.5,0.25,500,0.002,-0.015782488957058482,0.0
0.5,24,0.3,0.8,0.25,500,0.002,-0.018522721939143668,0.0
0.5,24,0.5,0.5,0.25,500,0.006,-0.0025652637945563815,0.0
0.5,24,0.5,0.8,0.25,500,0.016,-0.014398446340205305,0.0
0.5,24,0.8,0.5,0.25,500,0.026,-0.0031634044602748216,0.0
0.5,24,0.8,0.8,0.25,500,0.026,-0.0031105635836148407,0.0
0.5,72,0.3,0.5,0.25,500,0.024,0.023150642626465746,0.0
0.5,72,0.3,0.8,0.25,500,0.018,0.023353378120474964,0.0
0.5,72,0.5,0.5,0.25,500,0.018,-0.0047692249646579124,0.0
0.5,72,0.5,0.8,0.25,500,0.022,-0.0026023303747925637,0.0
0.5,72,0.8,0.5,0.25,500,0.03,-0.005665924296546123,0.0
0.5,72,0.8,0.8,0.25,500,0.032,-0.0032027005739866323,0.0
0.5,168,0.3,0.5,0.25,500,0.132,0.03842697156233995,0.0
0.5,168,0.3,0.8,0.25,500,0.118,0.03325236132030306,0.0
0.5,168,0.5,0.5,0.25,500,0.062,0.01421172111767099,0.0
0.5,168,0.5,0.8,0.25,500,0.04,0.008712936073436175,0.0
0.5,168,0.8,0.5,0.25,500,0.044,-0.0004196083427360624,0.0
0.5,168,0.8,0.8,0.25,500,0.026,0.000203868524150691,0.0
