scenario,sigma_true,prior_sd_log,passthrough_mean,passthrough_sd,shift_double_mean,shift_double_sd,shift_half_mean,shift_half_sd
uniform_6h,0.2,0.15,0.08233890321852941,0.0006377199192296264,0.012694273310824846,0.00040956262272116807,-0.010846647076821139,0.00035942166828681555
uniform_6h,0.2,0.3,0.02089614836633311,7.510340371846772e-05,0.002967497365230608,0.00011830755108937409,-0.002846609723545238,0.00011363414708925078
uniform_6h,0.2,0.6,0.005242035929249777,1.394263854434084e-05,0.0007283531950051646,3.0461246547499324e-05,-0.0007207146413770086,3.0142323890668924e-05
uniform_6h,0.3,0.15,0.077060697378224,0.0004790715984267279,0.01720668725557883,0.000532751783503822,-0.014818932838536077,0.00046949878337851375
uniform_6h,0.3,0.3,0.020376723254735152,5.8815657800511894e-05,0.004308841684501646,0.00016182486320480261,-0.004135419141516773,0.00015547533970665405
uniform_6h,0.3,0.6,0.005171391965952069,1.2237448166407268e-05,0.0010769356474051902,4.2359305764197895e-05,-0.0010656756538219773,4.192433408234801e-05
uniform_6h,0.5,0.15,0.07306753078511265,0.0007025857471234213,0.02600138711921903,0.0009281897940431674,-0.02254822591749998,0.0008017872352163218
uniform_6h,0.5,0.3,0.020324483371039648,0.0002199435622533902,0.00706780344647474,0.00029699864065171547,-0.006783032019350101,0.0002836378479788696
uniform_6h,0.5,0.6,0.005236457907888635,6.012305679354512e-05,0.0018074207818689447,7.926246032802689e-05,-0.0017881965652101618,7.829388728641278e-05
uniform_24h,0.2,0.15,0.10290679919324727,0.003125034276677502,0.015941886944307804,0.00044588114660295056,-0.013719073815057443,0.00039060757027189325
uniform_24h,0.2,0.3,0.026830356527150455,0.0008310837861711806,0.0038146959034714516,0.00012958920089067415,-0.003662726136955337,0.00012447663056787777
uniform_24h,0.2,0.6,0.0067769644043927995,0.00021080100142687724,0.0009412993153122118,3.352367391211453e-05,-0.000931589702335393,3.3175040610544224e-05
uniform_24h,0.3,0.15,0.08852147012210759,0.0015147751773601182,0.019832779951319778,0.0006605353221843503,-0.017118884273162296,0.0005760576785658581
uniform_24h,0.3,0.3,0.023646112855951286,0.0003466434262726864,0.005022517706698826,0.00020388724365900094,-0.004821025534479196,0.0001954065409732268
uniform_24h,0.3,0.6,0.00601706276591537,8.444791161208707e-05,0.001258819844714945,5.365005735625772e-05,-0.0012456358152361387,5.304966539381402e-05
uniform_24h,0.5,0.15,0.08061772210478013,0.000931005650076123,0.028669425441791425,0.0011693597676468586,-0.024840421615143923,0.0010030138750045127
uniform_24h,0.5,0.3,0.02251780633512345,0.00028616645008602295,0.007846250343008879,0.00037791240012386167,-0.007526255507768265,0.0003601882372338657
uniform_24h,0.5,0.6,0.005808655068470493,7.784359502079146e-05,0.0020103808644383997,0.00010116923726674173,-0.0019886470967587773,9.987143683034846e-05
pessimistic_onfile,0.2,0.15,0.500238033657515,0.023488789842282462,0.1166817303875941,0.008198795714042686,-0.06030939390702374,0.0037193282807031084
pessimistic_onfile,0.2,0.3,0.16293856287013192,0.010398892047793123,0.027312907053345596,0.003990427946160418,-0.020792205928296514,0.0027107746807805396
pessimistic_onfile,0.2,0.6,0.04274262276780395,0.0031760858288021267,0.006206865351781352,0.0010820069714671191,-0.005747035842547568,0.0009621858441881991
pessimistic_onfile,0.3,0.15,0.4524545459372505,0.015973638610301922,0.1324850023047668,0.009927433405559178,-0.06910171888738272,0.004621283682814642
pessimistic_onfile,0.3,0.3,0.16510043527553456,0.01103516072048996,0.0403326626771547,0.00701943527831834,-0.029839670763358087,0.004442249368962243
pessimistic_onfile,0.3,0.6,0.04673533559118536,0.0044829414727489605,0.010352767427975572,0.0022811878357442213,-0.009422577854402644,0.0019518916572835612
pessimistic_onfile,0.5,0.15,0.4176467452948919,0.010701928980509829,0.16075756377359546,0.012944922310770365,-0.08357493380779846,0.006516226630018503
pessimistic_onfile,0.5,0.3,0.1898093189043873,0.017685608015068074,0.0734238913263747,0.01696849532150671,-0.04974745980034878,0.009712772702743167
pessimistic_onfile,0.5,0.6,0.06502882667010923,0.012167339931717083,0.024682824855215415,0.009245554086821477,-0.02101962073861599,0.007066190477751797
