sigma_est,rmse_hours,rmse_hours_portfolio,mean_overlap20,mean_spearman,prob_top10_change_gt3,mean_induced_logV_sd,n_reps,variant,gamma,zeta
0.05,4.704837298979942,7.606406775320144,0.9471999999999998,0.9985886067095967,0.0,0.04914881968298731,500,zeta_0.7,-0.4,0.7
0.1,9.47152315038159,15.340896458874687,0.9294,0.9951298760340546,0.0,0.09868127820404812,500,zeta_0.7,-0.4,0.7
0.15,14.362844611955692,23.132404480290496,0.9150999999999999,0.989760592576514,0.0,0.14935317862015676,500,zeta_0.7,-0.4,0.7
0.2,19.4435032412828,31.210954999973257,0.8976,0.9826363649518849,0.008,0.1979345951732186,500,zeta_0.7,-0.4,0.7
0.3,30.44763693887205,48.76764286328418,0.8573,0.9630983455128669,0.052,0.3002106524855592,500,zeta_0.7,-0.4,0.7
0.4,43.08303363243592,69.6579714350452,0.8124,0.9376543713672431,0.12,0.4061241407168261,500,zeta_0.7,-0.4,0.7
0.5,58.06276149795093,93.20204682323775,0.7789,0.9072955502496202,0.284,0.5178866590294682,500,zeta_0.7,-0.4,0.7
0.6,76.27748752175142,123.91098084224929,0.7344,0.8756575693992235,0.38,0.6350764550645285,500,zeta_0.7,-0.4,0.7
0.7,98.88547552790122,157.21254670128155,0.7049000000000001,0.8399670730530835,0.562,0.7577679322657993,500,zeta_0.7,-0.4,0.7
0.8,127.44271363337843,206.3971755215193,0.6747000000000001,0.8066330198007863,0.65,0.8900519032292189,500,zeta_0.7,-0.4,0.7
0.9,164.0944646126234,262.46349586170913,0.6442,0.7725656718037769,0.724,1.0435529629772198,500,zeta_0.7,-0.4,0.7
1.0,211.86178524106543,333.5964602165451,0.6333000000000001,0.7398215927453392,0.69,1.2059761781582092,500,zeta_0.7,-0.4,0.7
1.1,275.07647176075585,445.2616455076452,0.6054,0.7066439488218411,0.786,1.376183054448059,500,zeta_0.7,-0.4,0.7
1.2,360.05051073411653,549.2450750514244,0.5897,0.6802703868509273,0.832,1.5486208393398453,500,zeta_0.7,-0.4,0.7
